Flowchart,Node,Node_content,Pattern,Answer,User_response,isOnTopic,isAnswered,isUncertain,actualAnswer
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and minimalistic,Yes,"""Yes, it is.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and minimalistic,Yes,"""Absolutely, my temperature is 100Â°F or higher.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and minimalistic,Yes,"""Yes, that's correct.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and minimalistic,Yes,"""Yes, my temperature is up there.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and minimalistic,Yes,"""Yes, I'm running a fever.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and descriptive,Yes,"""Yes, my temperature is definitely running high. I just took it and it's reading 101.2Â°F.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and descriptive,Yes,"""Absolutely, my temperature is up there. I can feel that I'm running a fever - it's measuring 100.6Â°F.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and descriptive,Yes,"""You bet, my temperature is over 100Â°F. In fact, it's 102Â°F and I've been feeling really warm and flushed.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and descriptive,Yes,"""Yes, my temperature is elevated. It's sitting at 100.4Â°F right now and I've been sweating a lot.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and descriptive,Yes,"""Yes, that's correct. When I checked just a little while ago, my temperature was 100.9Â°F. I'm definitely running a fever.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,vague or partially conclusive,Yes,"""I think so, it's been feeling pretty warm.""",Yes,No,Yes,No
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,vague or partially conclusive,Yes,"""Yeah, I'm pretty sure it's up there. It's been bothering me.""",Yes,Yes,Yes,Yes
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,vague or partially conclusive,Yes,"""Hmm, I'd say it's probably around that, or maybe a little higher even.""",Yes,No,Yes,No
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,vague or partially conclusive,Yes,"""I'm not 100% certain, but I'd guess it's at least that high, if not higher.""",Yes,Yes,Yes,Yes
