Flowchart,Node,Node_content,Pattern,Answer,User_response,isOnTopic,isAnswered,isUncertain,actualAnswer
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and minimalistic,Yes,"Definitely, it is.",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and minimalistic,Yes,"Yep, it is.",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and minimalistic,Yes,For sure.,Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and minimalistic,Yes,Absolutely.,Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and minimalistic,Yes,It is.,Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and minimalistic,No,"Nope, it's not.",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and minimalistic,No,"I'm good, it's below that.",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and minimalistic,No,"Nah, it's lower.",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and minimalistic,No,"No, it's under 100.",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and minimalistic,No,Not at all.,Yes,Yes,No,No
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and descriptive,Yes,"""Yes, it is. I just checked it a few minutes ago, and it was 101Â°F. I've been feeling really warm and a bit out of it all day.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and descriptive,Yes,"""Absolutely, my temperature is 100.5Â°F. I've been monitoring it since this morning, and it hasn't gone down despite taking some ibuprofen.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and descriptive,Yes,"""Yeah, it is. I measured it twice to be sure, and both times it was 100.8Â°F. I've also been experiencing chills and a headache.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and descriptive,Yes,"""Yes, my temperature is definitely over 100Â°F. It's currently at 102Â°F, and I've been feeling quite feverish and sweaty since last night.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and descriptive,Yes,"""For sure, it's 100.2Â°F right now. I've been feeling pretty lousy with a sore throat and some body aches, so I wasn't surprised when I saw the reading.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and descriptive,No,"""No, my temperature is actually around 98.6Â°F, which is normal for me. I checked it a couple of times today just to be sure.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and descriptive,No,"""Nope, it's not that high. I took my temperature this morning and it was 97.8Â°F, so I think I'm in the clear.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and descriptive,No,"""Definitely not. I just checked it a few minutes ago and it was 99Â°F, so it's a bit elevated but not quite at 100Â°F.""",Yes,Yes,No,No
