Flowchart,Node,Node_content,Pattern,Answer,User_response
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and minimalistic,Yes,"""Yes, it is."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and minimalistic,Yes,"""Yeah, over 100."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and minimalistic,Yes,"""Definitely."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and minimalistic,Yes,"""Yep, 100 or more."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and minimalistic,Yes,"""Mhm, that’s right."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and descriptive,Yes,"""Yes, it’s 101.2°F right now—I checked it about 20 minutes ago and it hasn’t gone down."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and descriptive,Yes,"""Yeah, I’ve been running a fever since last night. It was 100.5°F earlier, and I still feel really warm."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and descriptive,Yes,"""Yes, I just took it and it was 100.8°F. I’ve got chills and a headache too."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and descriptive,Yes,"""Definitely—my thermometer said 102°F, and I feel awful. I took some ibuprofen, but it hasn’t helped much."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and descriptive,Yes,"""Yes, it’s been over 100°F all day. My skin feels hot to the touch, and I’m sweating a lot."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,vague or partially conclusive,Yes,"""I think so? I checked earlier and it was around 100, maybe a little higher."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,vague or partially conclusive,Yes,"""Yeah, pretty sure—it felt really high when I took it, but I didn’t write it down."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,vague or partially conclusive,Yes,"""Last time I checked, it was close to 100, but I’m not sure if it’s gone up since then."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,vague or partially conclusive,Yes,"""I’d say probably? I’ve been burning up all day."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,vague or partially conclusive,Yes,"""It might be—my thermometer said 100.2, but I don’t know if it’s accurate."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and minimalistic,No,"""No."""
