Flowchart,Node,Node_content,Pattern,Answer,User_response
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and minimalistic,Yes,"Definitely, it is."
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and minimalistic,Yes,"Yep, it is."
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and minimalistic,Yes,For sure.
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and minimalistic,Yes,Absolutely.
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and minimalistic,Yes,It is.
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and minimalistic,No,"Nope, it's not."
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and minimalistic,No,"I'm good, it's below that."
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and minimalistic,No,"Nah, it's lower."
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and minimalistic,No,"No, it's under 100."
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and minimalistic,No,Not at all.
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and descriptive,Yes,"""Yes, it is. I just checked it a few minutes ago, and it was 101°F. I've been feeling really warm and a bit out of it all day."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and descriptive,Yes,"""Absolutely, my temperature is 100.5°F. I've been monitoring it since this morning, and it hasn't gone down despite taking some ibuprofen."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and descriptive,Yes,"""Yeah, it is. I measured it twice to be sure, and both times it was 100.8°F. I've also been experiencing chills and a headache."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and descriptive,Yes,"""Yes, my temperature is definitely over 100°F. It's currently at 102°F, and I've been feeling quite feverish and sweaty since last night."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and descriptive,Yes,"""For sure, it's 100.2°F right now. I've been feeling pretty lousy with a sore throat and some body aches, so I wasn't surprised when I saw the reading."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and descriptive,No,"""No, my temperature is actually around 98.6°F, which is normal for me. I checked it a couple of times today just to be sure."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and descriptive,No,"""Nope, it's not that high. I took my temperature this morning and it was 97.8°F, so I think I'm in the clear."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and descriptive,No,"""Definitely not. I just checked it a few minutes ago and it was 99°F, so it's a bit elevated but not quite at 100°F."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and descriptive,No,"""No, my temperature has been steady at 98°F all day. I haven't felt feverish or anything like that."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and descriptive,No,"""Not at all. I measured it twice today and both times it was around 98.4°F, so I'm not worried about a fever."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,vague or partially conclusive,Yes,"""I think it might be around 100°F, but I'm not entirely sure. It feels like it could be that high."""
