Flowchart,Node,Node_content,Pattern,Answer,User_response
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and minimalistic,Yes,Yep.
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and minimalistic,Yes,Affirmative.
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and minimalistic,Yes,It is.
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and minimalistic,Yes,"Yes, it is."
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and minimalistic,Yes,I'm afraid so.
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and descriptive,Yes,"""Yes, it's definitely up there. I just checked it, and it's reading 101.5°F. I feel really flushed and achy."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and descriptive,Yes,"""Yep, unfortunately. I took my temperature a few minutes ago, and it was 100.8°F. I've been feeling feverish all afternoon."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and descriptive,Yes,"""Absolutely. I've got a fever. It's hovering around 102°F, according to my thermometer. I'm also shivering quite a bit."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and descriptive,Yes,"""Yes, it is. I feel terrible and took my temp, it's 100.2°F. I've been having chills and a headache, too."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and descriptive,Yes,"""Affirmative. I'm running a fever. I just took my temperature, and it's 101°F. I've been feeling weak and nauseous, as well."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,vague or partially conclusive,Yes,"""I *think* it might be. I feel pretty warm, definitely not feeling cool."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,vague or partially conclusive,Yes,"""I'm running a bit of a fever, I'd say. It's probably up there."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,vague or partially conclusive,Yes,"""It's possible. I've been feeling hot and sweaty, so it's probably close."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,vague or partially conclusive,Yes,"""I'm leaning towards yes. I feel like I'm burning up."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,vague or partially conclusive,Yes,"""I wouldn't be surprised if it was. I'm definitely not feeling right, and I feel really hot."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and minimalistic,No,Nope.
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and minimalistic,No,Negative.
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and minimalistic,No,"No, it's not."
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and minimalistic,No,Not at all.
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and minimalistic,No,I'm good.
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and descriptive,No,"""No, I checked it just now, and it's only 98.6°F. I've been feeling a little chilly, though."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and descriptive,No,"""Not at all. I took it a few minutes ago, and it was normal. I'm just feeling a bit under the weather with this cough."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and descriptive,No,"""Nope. I don't think so. I feel okay, and I haven't felt hot or feverish. I've been feeling a little congested."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and descriptive,No,"""No, definitely not. I haven't even taken my temperature, but I feel fine. I'm just here because of this rash."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and descriptive,No,"""No, my temperature is definitely not that high. I'm actually feeling a little cold, so I doubt it. I'm here because of this headache."""
